estandar	dialectal	whisper
[OTRAS-EM]	[OTRAS-EM]	fui
ni	ni	más
entonces	entonces	a
ni	ni	pecar.
nunca	nunca	Estuve
quería	quería	yendo
abandonar	abandonar	un
mis	mis	tiempo,
obligaciones	obligaciones	con
por	por	mi
ir	ir	hijo,
pa'l	pa'l	el
mar	mar	mafiego
~,	~,	que
pero	pero	tengo,
~…	~…	que
iba	iba	es
~.	~.	el
Bueno	Bueno	tiempo
~,	~,	que
tuve	tuve	iba.
todos	todos	Y
~,	~,	ahora
tuve	tuve	tengo
días	días	un
buenos	buenos	nieto
~,	~,	que
días	días	viene
malos	malos	un
~,	~,	marco,
porque	porque	pa
yo	yo	pescadre,
le	le	y
oía	oía
decir	decir
a	a
mareantes	mareantes
que	que
bían	bían
~,	~,
iban	iban
entonces	entonces
al	al
mar	mar
~|	~|
ya	ya
ve	ve
~,	~,
cuando	cuando
yo	yo
fui	fui
~,	~,
diciendo	diciendo
lo	lo
que	que
es	es
~,	~,
no	no
yo	yo
~,	~,
cualquiera	cualquiera
~,	~,
no	no
iba	iba
pa'l	pa'l
mar	mar
por	por
necesidá	necesidá
~,	~,
era	era
por	por
~…	~…
porque	porque
era	era
un	un
~,	~,
un	un
recreo	recreo
~,	~,
una	una
satisfacción	satisfacción
el	el
pasar	pasar
un	un
día	día
de	de
otra	otra
manera	manera
~.	~.
Y	Y
~,	~,
pero	pero
en	en
algunas	algunas
épocas	épocas
la	la
gente	gente
iba	iba
al	al
mar	mar
por	por
obligación	obligación
~:	~:
si	si
traía	traía
un	un
pescadito	pescadito
~,	~,
o	o
traía	traía
un	un
~…	~…
marisco	marisco
~,	~,
hacían	hacían
una	una
sopa	sopa
~,	~,
era	era
algo	algo
que	que
hacía	hacía
falta	falta
en	en
casa	casa
~.	~.
Ya	Ya
cuando	cuando
yo	yo
fui	fui
nadie	nadie
estaba	estaba
en	en
esa	esa
situación	situación
~,	~,
en	en
la	la
necesidá	necesidá
de	de
ir	ir
al	al
mar	mar
por	por
decir	decir
~,	~,
por	por
traer	traer
un	un
kilo	kilo
de	de
pescado	pescado
ni	ni
eso	eso
~.	~.
Pero	Pero
~…	~…
yo	yo
fui	fui
~,	~,
tuve	tuve
de	de
todo	todo
~,	~,
que	que
yo	yo
le	le
oía	oía
decir	decir
a	a
gente	gente
que	que
habían	habían
ido	ido
y	y
no	no
se	se
habían	habían
estrenado	astrenado
que	que
no	no
cogi-	cogi-
~,	~,
no	no
habían	habían
cogío	cogío
~,	~,
nunca	nunca
me	me
pasó	pasó
eso	eso
~.	~.
Coger	Coger
poco	poco
sí	sí
~,	~,
pero	pero
también	también
algunas	algunas
veces	veces
~,	~,
pero	pero
claro	claro
~,	~,
cuando	cuando
ya	ya
empecé	empecé
~,	~,
ya	ya
con	con
~…	~…
años	años
ya	ya
de	de
edá	edá
~,	~,
después	después
yo	yo
no	no
dejaba	dejaba
de	de
hacer	hacer
mis	mis
cosas	cosas
por	por
ir	ir
~,	~,
y	y
ya	ya
mientras	mientras
tanto	tanto
me	me
puse	puse
viejo	viejo
y	y
~…	~…
y	y
ya	ya
no	no
fui	fui
más	más
a	a
pescar	pescar
~.	~.
Estuve	Estuve
yendo	yendo
un	un
tiempo	tiempo
con	con
mi	mi
hijo	hijo
el	el
más	más
viejo	viejo
que	que
tengo	tengo
~,	~,
que	que
él	él
[OTRAS-EM]	[OTRAS-EM]
estuvo	estuvo
un	un
tiempo	tiempo
que	que
iba	iba
~|	~|
y	y
ahora	ahora
tengo	tengo
un	un
nieto	nieto
que	que
tiene	tiene
un	un
barco	barco
pa	pa
pescar	pescar
~…	~…
sí	sí
~,	~,
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
profesional	profesional
~.	~.
Sí	Sí
~.	~.
